type,name,Lng,Lat
museum,Slavuts'kyy Istorychnyy Muzey,26.87269,50.36377
museum,Khmelnytskyi Oblasnyy Krayeznavchyy Musey,26.97365,49.50368
museum,Khmelnytsky Regional Literary - Memorial Museum M. Ostrovsky,27.06522,50.26277
museum,Shepetivs'kyy Krayeznavchyy Muzey,27.06846,50.18384
museum,Izyaslavs'kyy Rayonnyy Istoryko-Krayeznavchyy Muzey,26.82805,50.12519
museum,Starokostyantynivs'kyy Rayonnyy Istoryko-Krayeznavchyy Muzey,27.22493,49.76817
museum,Medzhybizh Fortress,27.4117,49.45316
museum,Literaturno-Memorial'nyy Muzey Anny Akhmatovoyi,27.42406,49.17563
museum,Narodnyy Muzey Sela Chabanivka,27.04777,48.6812
museum,Dunaevsk District Local History Museum,26.84727,48.89563
museum,Kam'yanets'-Podil's'kyi Derzhavnyy Istorychnyy Muzey-Zapovidnyk,26.57326,48.67416
museum,Miniature Museum of Ukrainian Castles,26.56956,48.67484
museum,Kamianets-Podilskyi Castle,26.56313,48.67445
museum,Horodots'kyy Krayeznavchyy Muzey,26.56583,49.19657
museum,Volochysk Historical and Ethnographic Museum,26.21976,49.55067
museum,Khmelnytskyi Oblasnyy Krayeznavchyy Musey,26.9783,49.42733
museum,Podil's'kyy Kul'turno-Prosvitnyts'kyy Tsentr Im. M.K.Rerikha,26.98053,49.42811
museum,Military historical museum panorama,26.99246,49.43063
museum,Khmelnytsky Regional Literary Museum,26.98354,49.42387
museum,Khmelnytskyi Regional Museum of Art,26.98783,49.42448
museum,Khmelnytsky Studio Museum of Photographic Art,26.99023,49.42259
museum,Muzey Istoriyi Mista Khmel'nyts'koho,26.98448,49.42527
museum,Science Museum Evrika,26.99924,49.43336
