type,name,x,y
museum,Slavuts'kyy Istorychnyy Muzey,50.36377,26.87269
museum,Khmelnytskyi Oblasnyy Krayeznavchyy Musey,49.50368,26.97365
museum,Khmelnytsky Regional Literary - Memorial Museum M. Ostrovsky,50.26277,27.06522
museum,Shepetivs'kyy Krayeznavchyy Muzey,50.18384,27.06846
museum,Izyaslavs'kyy Rayonnyy Istoryko-Krayeznavchyy Muzey,50.12519,26.82805
museum,Starokostyantynivs'kyy Rayonnyy Istoryko-Krayeznavchyy Muzey,49.76817,27.22493
museum,Medzhybizh Fortress,49.45316,27.4117
museum,Literaturno-Memorial'nyy Muzey Anny Akhmatovoyi,49.17563,27.42406
museum,Narodnyy Muzey Sela Chabanivka,48.6812,27.04777
museum,Dunaevsk District Local History Museum,48.89563,26.84727
museum,Kam'yanets'-Podil's'kyi Derzhavnyy Istorychnyy Muzey-Zapovidnyk,48.67416,26.57326
museum,Miniature Museum of Ukrainian Castles,48.67484,26.56956
museum,Kamianets-Podilskyi Castle,48.67445,26.56313
museum,Horodots'kyy Krayeznavchyy Muzey,49.19657,26.56583
museum,Volochysk Historical and Ethnographic Museum,49.55067,26.21976
museum,Khmelnytskyi Oblasnyy Krayeznavchyy Musey,49.42733,26.9783
museum,Podil's'kyy Kul'turno-Prosvitnyts'kyy Tsentr Im. M.K.Rerikha,49.42811,26.98053
museum,Military historical museum panorama,49.43063,26.99246
museum,Khmelnytsky Regional Literary Museum,49.42387,26.98354
museum,Khmelnytskyi Regional Museum of Art,49.42448,26.98783
museum,Khmelnytsky Studio Museum of Photographic Art,49.42259,26.99023
museum,Muzey Istoriyi Mista Khmel'nyts'koho,49.42527,26.98448
museum,Science Museum Evrika,49.43336,26.99924
